"","cartodb_id","the_geom","plazas_hoteleras_aprobadas_en_planeamiento","ubicacion_codigo_ine_municipio","archivos_adjuntos","material_grafico","enlaces_noticias","dominio_publico","zonificacion_nivel_proteccion","nombre_figuras_proteccion_ambiental","figuras_proteccion_ambiental","entidades_financieras","concurso_acreedores","cuantia_hipoteca","hipoteca_cargas","fallo","tribunal_dicta","n_fecha_sentencias","sentencias_judiciales","recursos_interpuestos","otros_urbanistico_politica","licencia_urbanistico_politica","proyecto_urbanistico_politica","modificacion_urbanistico_politica","plan_parcial_urbanistico_politica","convenio_urbanistico_politica","otros_planeamiento_tecnico_redactor","licencia_obras_planeamiento_tecnico_redactor","proyecto_urbanistico_planeamiento_tecnico_redactor","modificacion_pgou_planeamiento_tecnico_redactor","plan_parcial_planeamiento_tecnico_redactor","convenio_urbanistico_planeamiento_tecnico_redactor","otras_fechas_planeamiento_fecha_licencia","licencia_obras_planeamiento_fecha_licencia","proyecto_urbanistico_planeamiento_fecha_licencia","modificacion_pgou_planeamiento_fecha_licencia","plan_parcial_planeamiento_fecha_licencia","convenio_urbanistico_planeamiento_fecha_licencia","numero_de_visitantes_previsto_aplicable_centros_de_ocio_planeam","numero_habitantes_previsto_planeamiento","parcelas_uso_equipamiento_aprobadas_planeamiento","parcelas_uso_comercial_aprobadas_en_planeamiento","parcelas_uso_industrial_aprobadas_en_planeamiento","viviendas_aprobadas_en_planeamiento","edificabilidad_absoluta_planificada_o_aprobada","comentarios_tipologia","tipologia_edificatoria","comentarios_otros","uso","ubicacion_codigo_ine_provincia","descripcion_propiedad","arquitecto_o_tecnico_redactor","constructor","promotor","comentarios_otras_opciones","estado_actual","parcelas_uso_equipamiento_construidas","parcelas_uso_comercial_construidas","parcelas_uso_industrial_construidas","plazas_hoteleras_construidas","viviendas_construidas","suelo_ocupado_actual","superficie_construida","superficie_terreno","padre_adoptivo","fecha_autor_fuente_de_la_foto","enlance_a_mapa_foto_aerea","enlace_web","fuente","tipologia_asentamiento_secundario","tipologia_asentamiento_principal","comunidad_autonoma","provincia","municipio","direccion","latitud_longitud","nombre_urbanistico","nombre_promocional","latitud","longitud"
"1",9,"0101000020E6100000FCFECD8B13DF12C02F88484DBB544240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,,"500,000",,"Volumen específico",,"Terciario Recreativo",,,,,,,"Proyecto tramitado (no iniciado)",,,,,,,,"2500000","Ruinas modernas","IGN-PNOA. fecha vuelo 07-2013","http://www2.ign.es/iberpix/visoriberpix/visorign.html?x=346502&y=4054026&zone=30&r=632&visible=PNOA;","http://www.juliaschulzdornburg.com/cas/la-mota-golf","Ruinas modernas","NEU - Nueva entidad urbana","DEO - Desarrollo ligado a instalaciones de ocio","Andalucía","Málaga","Alhaurín el Grande","Urbanizacion UR9, 21 29120","36.661966, -4.717848","Sector UR 9, “La Mota”","La Mota Golf",36.661966,-4.717848
"2",10,"0101000020E610000033DFC14F1C7012C0234BE658DE4B4240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,721.50",,,,"1,349","155,132",,"Volumen específico",,"Terciario Recreativo",,,,,,,"Proyecto tramitado (no iniciado)",,,,,,,,"674485","Ruinas modernas","IGN-PNOA. fecha vuelo 07-2013","http://www2.ign.es/iberpix/visoriberpix/visorign.html?x=356374&y=4050916&zone=30&r=632&visible=PNOA;","http://www.juliaschulzdornburg.com/cas/buenavista-del-mar","Ruinas modernas",,"NEU - Nueva entidad urbana","Andalucía","Málaga","Mijas","Autovía A-368, 29650","36.592723, -4.609483","Sector SUP S-11 (RT) ""Buenavista""","Buenavista del mar- Buenavista del Sol",36.592723,-4.609483
"3",33,"0101000020E61000002D414640857313C00038F6ECB9B64540",,33036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Residencial Unifamiliar","ADP2. Plurifamiliar Adosada","Viviendas adosadas",,"Urzaca","Urazca",,"Edificación no terminada",,,,,,"750",750,"2700","@icaroviedo",,,,,,"NEU - Nueva entidad urbana","Asturias",,"Llanes","Bricia, 23","43.427549, -4.862813","ADP2. Plurifamiliar Adosada","Urazca",43.427549,-4.862813
"4",32,"0101000020E6100000F37684D3827717C0E316F37343AD4540",,33044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Residencial Colectivo",,,,,,,"Edificación no terminada",,,,,,"790",790,"3300","@icaroviedo",,"http://www.ign.es/iberpix2/visor/?&visible=VEC;OI.OrthoimageCoverage;OpenLayers_Layer_Vector_4539&x=267672.49&y=4804056.78&level=18&srid=25830",,,,"NOE - Nuevo desarrollo urbano","Asturias",,"Oviedo","Av. Cristo de las Cadenas, 71","43.353621,-5.866710",,"Armonía",43.353621,-5.86671
"5",11,"0101000020E6100000015130630A6613C06BD784B4C64A4240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"448.00",,,,"128","14,844",,"Volumen específico",,"Terciario Recreativo",,,,,,,"Proyecto tramitado (no iniciado)",,,,,,,,"123700","Ruinas modernas","IGN-PNOA. fecha vuelo 07-2013","http://www2.ign.es/iberpix/visoriberpix/visorign.html?x=334651&y=4050269&zone=30&r=232.5&visible=PNOA;","http://www.juliaschulzdornburg.com/cas/puerto-ojen","Ruinas Modernas",,"NEU - Nueva entidad urbana","Andalucía","Málaga","Ojén","Autovías A-355 y A-7103,29610","36.584189, -4.849649","Sector AU-11 “Puerto de Ojén”, SUC PA- 3 “Puerto de Ojén” (PGOU 2011)","Puerto Ojén",36.584189,-4.849649
"6",12,"0101000020E610000080F0A1444BFE0CC0F04DD367078A4240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"José Antonio Cobo Baro",,,,,,,,,"1,151.50",,,,"329",,,"Volumen específico",,"Terciario Recreativo",,,,,,,"Proyecto tramitado (no iniciado)",,,,,,,,"300000","Ruinas Modernas","IGN-PNOA. fecha vuelo 06-2013","http://www2.ign.es/iberpix/visoriberpix/visorign.html?x=444478&y=4103714&zone=30&r=465&visible=PNOA;","http://www.juliaschulzdornburg.com/cas/urbanizacion-las-alondras","Ruinas Modernas",,"NOE - Nuevo desarrollo urbano","Andalucía","Granada","Otura","Avenida Villa de Otura","37.078351, -3.624167","sector S-5","Urbanización las Alondras",37.078351,-3.624167
"7",62,"0101000020E6100000E9482EFF215D16C08350DEC7D17A4440",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1687",,,,"482","72336",,"Bloque adosado",,"Residencial Colectivo",,,,,,,"Urbanización no terminada",,,,,,,,"239534","Ruinas Modernas",,,"http://www.juliaschulzdornburg.com/cas/urbanizacion-la-ladera, http://www.nacionrotonda.com/2013/05/naharros-del-rio-salamanca-2006-2012.html","Ruinas Modernas, Nación Rotonda",,"NEU - Nueva entidad urbana","Castilla y León","Salamanca","Pelabravo"," Ctra. de Santa Marta de Tormes a Nuevo Naharros.","40.959527, -5.590950","Sector UBZ-26","Urbanización La Ladera ",40.959527,-5.59095
"8",13,"0101000020E61000000C74ED0BE8250DC077DB85E63A874240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,800.00",,,,"800","168,000",,"Volumen específico",,"Terciario Recreativo",,,,,,,"Proyecto tramitado (no iniciado)",,,,,,,,"840000","Ruinas Modernas","IGN-PNOA. fecha vuelo 06-2013","http://www2.ign.es/iberpix/visoriberpix/visorign.html?x=443278&y=4101530&zone=30&r=930&visible=PNOA;","http://www.juliaschulzdornburg.com/cas/carmenes-del-suspiro","Ruinas Modernas",,"NEU - Nueva entidad urbana","Andalucía","Granada","Dílar","N-323a","37.056485, -3.643509","UE-18 “Cañadas del Parque”","Urb. Cañadas del Parque",37.056485,-3.643509
"9",1,"0101000020E61000001841632651AFFDBF38F3AB39408A4240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,882.50",,,,"1,395",,,"Bloque exento","residencial colectivo y turístico","Residencial Unifamiliar",,,,,,,"Edificación terminada con uso parcial",,,,,,,,"2895000","Ruinas Modernas, Shen","IGN-PNOA. fecha vuelo: 06-2013","http://www2.ign.es/iberpix/visoriberpix/visorign.html?x=601628.75&y=4104188.75&zone=30&r=936&visible=PNOA;","http://www.juliaschulzdornburg.com/cas/playa-macenas-resort, http://www.nacionrotonda.com/2013/05/mojacar-almeria-2002-2011.html, http://www.nacionrotonda.com/2014/06/horta-guadalajara_20.html ","Ruinas Modernas, Nación Rotonda","NEU - Nueva entidad urbana","DEO - Desarrollo ligado a instalaciones de ocio","Andalucía","Almería","Mojácar","Paraje Cortijo Blanco s/n, 04638 ","37.080085, -1.855302","Sector 1 Macenas","Playa Macenas Beach & Golf Resort ",37.080085,-1.855302
"10",2,"0101000020E610000055F833BC59C3FABF87C1FC1532AF4240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,000",,"viviendas unifamiliares aisladas","Bloque exento",,"Residencial Unifamiliar",,,,,,,"Edificación no terminada",,,,,,,,"2160000","Ruinas Modernas, Shen","IGN-PNOA. fecha vuelo: 06-2013","http://www2.ign.es/iberpix/visoriberpix/visorign.html?x=617658.75&y=4136446.75&zone=30&r=936&visible=PNOA;","http://www.juliaschulzdornburg.com/cas/golden-sun-bg-resort, http://www.nacionrotonda.com/2013/06/san-juan-almeria.html","Ruinas Modernas, Nación Rotonda","NOE - Nuevo desarrollo urbano","DEO - Desarrollo ligado a instalaciones de ocio","Andalucía","Almería","Pulpí","Calle pacifico, San Juan de Terreros, ","37.368716, -1.672693","Sector Costa-1","Golden Sun Beach & Golf Resort",37.368716,-1.672693
